ID,Item,Amount,Prize,Customer
10735,Lorenzo Hagenes,3,20.7988036400639,399
10736,Margie Gibson,4,89.0462029213086,498
10737,Melodie Dietrich,5,19.7074026288465,26
10738,Dora Lowe,5,32.1991873672232,523
10739,Martina Hodkiewicz,10,94.0488386899233,553
10740,Willodean Hilpert,6,91.862649791874,9
10741,Thaddeus Hyatt,1,64.2179075931199,467
10742,Erwin Klocko,4,59.0964820468798,409
10743,Julia Hoppe,9,96.9596433686092,521
10744,Tish Goyette,6,29.3519451539032,317
10745,Orville Dooley,5,91.2248542881571,7
10746,Tina Dickinson,4,38.8954939180985,491
10747,Milford Ankunding,6,78.881763254758,285
10748,Tandra Spencer,6,13.0932614440098,296
10749,Kristyn Nikolaus,3,76.7303293733858,343
10750,Jean Conroy,5,85.9779061796144,200
10751,Michel Grimes,8,82.3857104196213,266
10752,Debrah Dach,6,91.5069926483557,456
10753,Carylon Kshlerin,1,69.1946125403047,368
10754,Steve Bartoletti,4,47.7200675872155,548
10755,Verlene Bosco,2,17.4102541385219,169
10756,Shaun Padberg,10,40.0403820117936,133
10757,Irish Hilpert,9,41.9299725303426,408
10758,Machelle Ortiz,1,34.3268156168051,445
10759,Arron McCullough,9,21.1123995552771,331
10760,Lionel Runolfsdottir,1,78.5446669138037,562
10761,Geraldo Weimann,2,62.756674613338,53
10762,Jerrie Oberbrunner,4,12.1378568117507,414
10763,Verline McClure,7,76.4812005194835,495
10764,Lorrie Klein,4,70.3089914284647,192
10765,Leontine Barton,3,10.4589310334995,174
10766,Karen Funk,2,20.2737863291986,434
10767,Jack Schmitt,6,66.4059010939673,136
10768,Bella Quigley,1,84.3972555967048,231
10769,Normand Kuhic,4,54.6749154082499,547
10770,Brandie Marvin,5,33.680269070901,545
10771,Wm Luettgen,2,29.7092553135008,86
10772,Malcolm Erdman,4,18.9656521216966,433
10773,Wilber Prohaska,9,19.0981707442552,495
10774,Krystin Kuhn,10,10.2337095886469,144
10775,Tuan Conn,9,29.1641219798476,160
10776,Majorie Hackett,3,21.2523455708288,205
10777,Loyce Boyer,8,98.9465369074605,388
10778,Robby Kiehn,5,99.7240556986071,109
10779,Idella Gaylord,6,86.7985117458738,407
10780,Cruz Rippin,8,55.6668423395604,77
10781,Evalyn Turcotte,8,53.851929968223,215
10782,Dominique Blick,7,94.0555976051837,161
10783,Emilio Koelpin,1,50.4966972535476,15
10784,Dillon Crist,2,29.9166339496151,1
